Country Name,Country Code,Series Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total GDP
France,FRA,GDP (current US$),2.68E+12,2.81E+12,2.86E+12,2.44E+12,2.47E+12,2.60E+12,2.79E+12,2.73E+12,2.64E+12,2.96E+12,2.70E+13
French Polynesia,PYF,GDP (current US$),5692858773,6031828532,6151998958,5325848045,5497037293,5833351478,6135117589,6001384760,5709421969,6054676735,58433524132
Gabon,GAB,GDP (current US$),17170465294,17595745653,18203968002,14383107714,14023890620,14929488771,16867326390,16874405460,15314577168,20216843174,1.66E+11
"Gambia, The",GMB,GDP (current US$),1415006238,1375608956,1229460602,1378176868,1484579844,1504909753,1670670669,1813608280,1812169484,2038417462,15722608156
Georgia,GEO,GDP (current US$),16488403076,17189551521,17627003455,14953950557,15141758567,16242916916,17596922470,17470436259,15842922533,18629365597,1.67E+11
Germany,DEU,GDP (current US$),3.53E+12,3.73E+12,3.89E+12,3.36E+12,3.47E+12,3.69E+12,3.97E+12,3.89E+12,3.89E+12,4.26E+12,3.77E+13
Ghana,GHA,GDP (current US$),41270954737,62823043706,54782847753,49406568433,56165172899,60406382899,67299280680,68337537816,70043199814,77594279055,6.08E+11
Gibraltar,GIB,GDP (current US$),0,0,0,0,0,0,0,0,0,0,0
Greece,GRC,GDP (current US$),2.42E+11,2.39E+11,2.35E+11,1.96E+11,1.93E+11,2.00E+11,2.12E+11,2.05E+11,1.89E+11,2.15E+11,2.13E+12
Greenland,GRL,GDP (current US$),2609667674,2684952727,2842048998,2499115623,2707146783,2851610656,3055791341,2994332324,3076015347,0,25320681473
Grenada,GRD,GDP (current US$),799882259.3,842620111.1,911500000,997007407.4,1061640741,1125681481,1166511111,1213485185,1043414815,1122807407,10284550518
Guam,GUM,GDP (current US$),5265000000,5399000000,5610000000,5799000000,5901000000,6013000000,6056000000,6366000000,5886000000,6123000000,58418000000
Guatemala,GTM,GDP (current US$),49593961142,52996540704,57852399964,62186186576,66053725049,71654134379,73328024537,77170421168,77625486978,85985752107,6.74E+11
Guinea,GIN,GDP (current US$),7638045254,8376613843,8778473615,8794202444,8595955581,10324668267,11857030337,13442861444,14177835816,16091817842,1.08E+11
Guinea-Bissau,GNB,GDP (current US$),989271229.6,1046087418,1054915645,1048229629,1179004941,1350177128,1504630121,1439638443,1431758243,1638517533,12682230331
Guyana,GUY,GDP (current US$),4063089192,4167800259,4127659492,4279840194,4482697337,4748174334,4787636237,5173760192,5471256595,8044498801,49346412633
Haiti,HTI,GDP (current US$),13708926466,14902474091,15139264670,14833154472,13987693739,15035560373,16455034353,14785839383,14508218017,20944392615,1.54E+11
Honduras,HND,GDP (current US$),18528601901,18499710128,19756494435,20979767785,21717622071,23136232230,24067778954,25089976947,23827840810,28488668302,2.24E+11
"Hong Kong SAR, China",HKG,GDP (current US$),2.63E+11,2.76E+11,2.91E+11,3.09E+11,3.21E+11,3.41E+11,3.62E+11,3.63E+11,3.45E+11,3.69E+11,3.24E+12
Hungary,HUN,GDP (current US$),1.29E+11,1.36E+11,1.41E+11,1.25E+11,1.29E+11,1.43E+11,1.61E+11,1.64E+11,1.57E+11,1.82E+11,1.47E+12
Iceland,ISL,GDP (current US$),14751508134,16125060515,17867662178,17517210519,20793168031,24728285177,26264127687,24826102120,21694674810,25602419210,2.10E+11
India,IND,GDP (current US$),1.83E+12,1.86E+12,2.04E+12,2.10E+12,2.29E+12,2.65E+12,2.70E+12,2.83E+12,2.67E+12,3.18E+12,2.42E+13
Indonesia,IDN,GDP (current US$),9.18E+11,9.13E+11,8.91E+11,8.61E+11,9.32E+11,1.02E+12,1.04E+12,1.12E+12,1.06E+12,1.19E+12,9.95E+12
"Iran, Islamic Rep.",IRN,GDP (current US$),6.44E+11,4.93E+11,4.60E+11,4.08E+11,4.58E+11,4.87E+11,3.32E+11,2.84E+11,2.40E+11,3.60E+11,4.17E+12
Iraq,IRQ,GDP (current US$),2.18E+11,2.35E+11,2.28E+11,1.67E+11,1.67E+11,1.87E+11,2.27E+11,2.34E+11,1.84E+11,2.08E+11,2.06E+12
Ireland,IRL,GDP (current US$),2.26E+11,2.38E+11,2.59E+11,2.92E+11,2.99E+11,3.36E+11,3.86E+11,3.99E+11,4.26E+11,5.04E+11,3.37E+12
Isle of Man,IMN,GDP (current US$),6690725118,7000748788,7708834951,7085288006,6846691871,6979581725,7491969313,7315388052,0,0,57119227824
Israel,ISR,GDP (current US$),2.62E+11,2.98E+11,3.14E+11,3.03E+11,3.22E+11,3.58E+11,3.77E+11,4.02E+11,4.13E+11,4.89E+11,3.54E+12
Italy,ITA,GDP (current US$),2.09E+12,2.14E+12,2.16E+12,1.84E+12,1.88E+12,1.96E+12,2.09E+12,2.01E+12,1.90E+12,2.11E+12,2.02E+13
Jamaica,JAM,GDP (current US$),14807086889,14264202737,13899228824,14188935948,14077109397,14808989993,15730793853,15830768550,13812425037,14657586937,1.46E+11
Japan,JPN,GDP (current US$),6.27E+12,5.21E+12,4.90E+12,4.44E+12,5.00E+12,4.93E+12,5.04E+12,5.12E+12,5.04E+12,4.94E+12,5.09E+13
Jordan,JOR,GDP (current US$),31634561670,34454440181,36847643587,38587017944,39892551149,41608435922,43370860549,44993992365,44182298292,45744271659,4.01E+11
